CellType	Metagene
Tfollicularhelpercell	PDCD1
Tfollicularhelpercell	PTPRCAP
Tfollicularhelpercell	PVRIG
Tfollicularhelpercell	RGS1
Tfollicularhelpercell	RPL3P7
Tfollicularhelpercell	SH2D1A
Tfollicularhelpercell	SIK1
Tfollicularhelpercell	SIRPG
Tfollicularhelpercell	SLC7A10
Tfollicularhelpercell	ST8SIA1
Tfollicularhelpercell	TCF7
Tfollicularhelpercell	TNFRSF4
Tfollicularhelpercell	TRAC
Tfollicularhelpercell	TRAT1
Tfollicularhelpercell	TRAV13-1
Tfollicularhelpercell	TRAV8-6
Tfollicularhelpercell	TRAV9-2
Tfollicularhelpercell	TRBC1
Tfollicularhelpercell	TRIB2
Tfollicularhelpercell	TSHR
Tfollicularhelpercell	UBASH3A
Tfollicularhelpercell	ZAP70
Tfollicularhelpercell	ZBTB10
RegulatoryTcell	BARX2
RegulatoryTcell	BCL11B
RegulatoryTcell	CD2
RegulatoryTcell	CD247
RegulatoryTcell	CD27
RegulatoryTcell	CD28
RegulatoryTcell	CD3D
RegulatoryTcell	CD3E
RegulatoryTcell	CD3G
RegulatoryTcell	CD4
RegulatoryTcell	CD5
RegulatoryTcell	CD6
RegulatoryTcell	CD70
RegulatoryTcell	CD96
RegulatoryTcell	CEMP1
RegulatoryTcell	CLEC2D
RegulatoryTcell	CTLA4
RegulatoryTcell	DGKA
RegulatoryTcell	DPP4
RegulatoryTcell	EFNA5
RegulatoryTcell	FOXP3
RegulatoryTcell	FRMD8
RegulatoryTcell	GPR1
RegulatoryTcell	GPR171
RegulatoryTcell	GPR19
RegulatoryTcell	GZMM
RegulatoryTcell	HIC1
RegulatoryTcell	HMGB3P30
RegulatoryTcell	ICOS
RegulatoryTcell	IL2RA
RegulatoryTcell	IL2RB
RegulatoryTcell	ITK
RegulatoryTcell	KIRREL
RegulatoryTcell	LAIR2
RegulatoryTcell	LCK
RegulatoryTcell	LILRA4
RegulatoryTcell	LOC126987
RegulatoryTcell	LTB
RegulatoryTcell	MAP4K1
RegulatoryTcell	MBL2
RegulatoryTcell	NPAS1
RegulatoryTcell	NTN3
RegulatoryTcell	PCDHA5
RegulatoryTcell	PLCH2
RegulatoryTcell	PMCH
RegulatoryTcell	PTGIR
RegulatoryTcell	PTPRG
RegulatoryTcell	RCAN3
RegulatoryTcell	RYR1
RegulatoryTcell	SEC31B
RegulatoryTcell	SEPT5
RegulatoryTcell	SH2D1A
RegulatoryTcell	SIRPG
RegulatoryTcell	SIT1
RegulatoryTcell	SKAP1
RegulatoryTcell	SPOCK2
RegulatoryTcell	SSX1
RegulatoryTcell	TRAC
RegulatoryTcell	TRAT1
RegulatoryTcell	TRAV9-2
RegulatoryTcell	TRBC1
RegulatoryTcell	TYR
RegulatoryTcell	UBASH3A
RegulatoryTcell	ZAP70
Restingnaturalkillercell	BPI
Restingnaturalkillercell	CAMP
Restingnaturalkillercell	CCL5
Restingnaturalkillercell	CD160
Restingnaturalkillercell	CD2
Restingnaturalkillercell	CD244
Restingnaturalkillercell	CD247
Restingnaturalkillercell	CD7
Restingnaturalkillercell	CD96
Restingnaturalkillercell	CDHR1
Restingnaturalkillercell	CEACAM8
Restingnaturalkillercell	CST7
Restingnaturalkillercell	CTSW
Restingnaturalkillercell	DEFA4
Restingnaturalkillercell	ELANE
Restingnaturalkillercell	GFI1
Restingnaturalkillercell	GNLY
Restingnaturalkillercell	GZMA
Restingnaturalkillercell	GZMB
Restingnaturalkillercell	GZMH
Restingnaturalkillercell	GZMK
Restingnaturalkillercell	GZMM
Restingnaturalkillercell	IL12RB2
Restingnaturalkillercell	IL18R1
Restingnaturalkillercell	IL18RAP
Restingnaturalkillercell	IL2RB
Restingnaturalkillercell	KIR2DL1
Restingnaturalkillercell	KIR3DL2
Restingnaturalkillercell	KLRB1
Restingnaturalkillercell	KLRC3
Restingnaturalkillercell	KLRC4
Restingnaturalkillercell	KLRD1
Restingnaturalkillercell	KLRF1
Restingnaturalkillercell	KLRK1
Restingnaturalkillercell	LCK
Restingnaturalkillercell	MGAM
Restingnaturalkillercell	MS4A3
Restingnaturalkillercell	NAALADL1
Restingnaturalkillercell	NKG7
Restingnaturalkillercell	NME8
Restingnaturalkillercell	PLEKHF1
Restingnaturalkillercell	PRF1
Restingnaturalkillercell	PRR5L
Restingnaturalkillercell	PTGDR
Restingnaturalkillercell	PTPRCAP
Restingnaturalkillercell	PVRIG
Restingnaturalkillercell	S1PR5
Restingnaturalkillercell	SH2D1A
Restingnaturalkillercell	TBX21
Restingnaturalkillercell	TEP1
Restingnaturalkillercell	TRBC1
Restingnaturalkillercell	TRDC
Restingnaturalkillercell	TTC38
Restingnaturalkillercell	TXK
Restingnaturalkillercell	ZAP70
Restingnaturalkillercell	ZNF135
Activatenaturalkillercell	APOBEC3G
Activatenaturalkillercell	APOL6
Activatenaturalkillercell	CCL4
Activatenaturalkillercell	CCL5
Activatenaturalkillercell	CCND2
Activatenaturalkillercell	CD244
Activatenaturalkillercell	CD247
Activatenaturalkillercell	CD69
Activatenaturalkillercell	CD7
Activatenaturalkillercell	CD96
Activatenaturalkillercell	CDK6
Activatenaturalkillercell	CSF2
Activatenaturalkillercell	CST7
Activatenaturalkillercell	CTSW
Activatenaturalkillercell	DPP4
Activatenaturalkillercell	FASLG
Activatenaturalkillercell	GNLY
Activatenaturalkillercell	GPR171
Activatenaturalkillercell	GPR18
Activatenaturalkillercell	GRAP2
Activatenaturalkillercell	GZMA
Activatenaturalkillercell	GZMB
Activatenaturalkillercell	GZMH
Activatenaturalkillercell	GZMM
Activatenaturalkillercell	IFNG
Activatenaturalkillercell	IL12RB2
Activatenaturalkillercell	IL18R1
Activatenaturalkillercell	IL18RAP
Activatenaturalkillercell	IL2RB
Activatenaturalkillercell	KIR2DL1
Activatenaturalkillercell	KIR2DL4
Activatenaturalkillercell	KIR2DS4
Activatenaturalkillercell	KIR3DL2
Activatenaturalkillercell	KLRB1
Activatenaturalkillercell	KLRC3
Activatenaturalkillercell	KLRD1
Activatenaturalkillercell	KLRF1
Activatenaturalkillercell	KLRK1
Activatenaturalkillercell	LCK
Activatenaturalkillercell	LTA
Activatenaturalkillercell	LTB
Activatenaturalkillercell	NAALADL1
Activatenaturalkillercell	NCR3
Activatenaturalkillercell	NKG7
Activatenaturalkillercell	OSM
Activatenaturalkillercell	PRF1
Activatenaturalkillercell	PRR5L
Activatenaturalkillercell	PTGDR
Activatenaturalkillercell	PTGER2
Activatenaturalkillercell	PTPRCAP
Activatenaturalkillercell	PVRIG
Activatenaturalkillercell	S1PR5
Activatenaturalkillercell	SH2D1A
Activatenaturalkillercell	SOCS1
Activatenaturalkillercell	TBX21
Activatenaturalkillercell	TNFSF14
Activatenaturalkillercell	TRDC
Activatenaturalkillercell	TXK
Activatenaturalkillercell	ZAP70
Monocyte	AIF1
Monocyte	APOBEC3A
Monocyte	AQP9
Monocyte	ASGR1
Monocyte	ASGR2
Monocyte	BST1
Monocyte	C5AR1
Monocyte	CCR2
Monocyte	CD1D
Monocyte	CD33
Monocyte	CD68
Monocyte	CDA
Monocyte	CFP
Monocyte	CHST15
Monocyte	CLEC4A
Monocyte	CLEC7A
Monocyte	CREB5
Monocyte	CSF3R
Monocyte	FAM198B
Monocyte	FCN1
Monocyte	FES
Monocyte	FOSB
Monocyte	FPR1
Monocyte	FZD2
Monocyte	HCK
Monocyte	HK3
Monocyte	HNMT
Monocyte	HPSE
Monocyte	IGSF6
Monocyte	LILRA2
Monocyte	LILRA3
Monocyte	LILRB2
Monocyte	LST1
Monocyte	MEFV
Monocyte	MNDA
Monocyte	MS4A6A
Monocyte	NCF2
Monocyte	NFE2
Monocyte	NLRP3
Monocyte	NOD2
Monocyte	P2RY13
Monocyte	PADI4
Monocyte	RNASE2
Monocyte	RNASE6
Monocyte	S100A12
Monocyte	SLC15A3
Monocyte	TLR2
Monocyte	TLR7
Monocyte	TLR8
Monocyte	UPK3A
Monocyte	VNN1
Monocyte	VNN2
MacrophageM0	ACP5
MacrophageM0	ADAMDEC1
MacrophageM0	AQP9
MacrophageM0	BHLHE41
MacrophageM0	C5AR1
MacrophageM0	CCDC102B
MacrophageM0	CCL18
MacrophageM0	CCL22
MacrophageM0	CCL7
MacrophageM0	CD68
MacrophageM0	CHI3L1
MacrophageM0	COL8A2
MacrophageM0	CSF1
MacrophageM0	CXCL3
MacrophageM0	CXCL5
MacrophageM0	CYP27A1
MacrophageM0	DCSTAMP
MacrophageM0	FAM198B
MacrophageM0	GPC4
MacrophageM0	HK3
MacrophageM0	IGSF6
MacrophageM0	MARCO
MacrophageM0	MMP9
MacrophageM0	NCF2
MacrophageM0	PLA2G7
MacrophageM0	PPBP
MacrophageM0	QPCT
MacrophageM0	SLAMF8
MacrophageM0	SLC12A8
MacrophageM0	SLC15A3
MacrophageM0	TNFSF14
MacrophageM0	TREM2
MacrophageM0	VNN1
MacrophageM1	ACHE
MacrophageM1	ADAMDEC1
MacrophageM1	APOBEC3A
MacrophageM1	APOL3
MacrophageM1	APOL6
MacrophageM1	AQP9
MacrophageM1	ARRB1
MacrophageM1	CCL19
MacrophageM1	CCL5
MacrophageM1	CCL8
MacrophageM1	CCR7
MacrophageM1	CD38
MacrophageM1	CD40
MacrophageM1	CHI3L1
MacrophageM1	CLIC2
MacrophageM1	CXCL10
MacrophageM1	CXCL11
MacrophageM1	CXCL13
MacrophageM1	CXCL9
MacrophageM1	CYP27B1
MacrophageM1	DHX58
MacrophageM1	EBI3
MacrophageM1	GGT5
MacrophageM1	HESX1
MacrophageM1	IDO1
MacrophageM1	IFI44L
MacrophageM1	IL2RA
MacrophageM1	KIAA0754
MacrophageM1	KYNU
MacrophageM1	LAG3
MacrophageM1	LAMP3
MacrophageM1	LILRA3
MacrophageM1	LILRB2
MacrophageM1	NOD2
MacrophageM1	PLA1A
MacrophageM1	PTGIR
MacrophageM1	RASSF4
MacrophageM1	RSAD2
MacrophageM1	SIGLEC1
MacrophageM1	SLAMF1
MacrophageM1	SLC15A3
MacrophageM1	SLC2A6
MacrophageM1	SOCS1
MacrophageM1	TLR7
MacrophageM1	TLR8
MacrophageM1	TNFAIP6
MacrophageM1	TNIP3
MacrophageM1	TRPM4
MacrophageM2	ADAMDEC1
MacrophageM2	AIF1
MacrophageM2	ALOX15
MacrophageM2	CCL13
MacrophageM2	CCL14
MacrophageM2	CCL18
MacrophageM2	CCL23
MacrophageM2	CCL8
MacrophageM2	CD209
MacrophageM2	CD4
MacrophageM2	CD68
MacrophageM2	CFP
MacrophageM2	CHI3L1
MacrophageM2	CLEC10A
MacrophageM2	CLEC4A
MacrophageM2	CLIC2
MacrophageM2	CRYBB1
MacrophageM2	EBI3
MacrophageM2	FAM198B
MacrophageM2	FES
MacrophageM2	FRMD4A
MacrophageM2	FZD2
MacrophageM2	GGT5
MacrophageM2	GSTT1
MacrophageM2	HRH1
MacrophageM2	HTR2B
MacrophageM2	MS4A6A
MacrophageM2	NME8
MacrophageM2	NPL
MacrophageM2	P2RY13
MacrophageM2	PDCD1LG2
MacrophageM2	RENBP
MacrophageM2	SIGLEC1
MacrophageM2	SLC15A3
MacrophageM2	TLR8
MacrophageM2	TREM2
MacrophageM2	WNT5B
Restingdendriticcell	AIF1
Restingdendriticcell	ALOX15
Restingdendriticcell	C1orf54
Restingdendriticcell	CCDC102B
Restingdendriticcell	CCL13
Restingdendriticcell	CCL17
Restingdendriticcell	CCL18
Restingdendriticcell	CCL22
Restingdendriticcell	CD1A
Restingdendriticcell	CD1B
Restingdendriticcell	CD1C
Restingdendriticcell	CD1E
Restingdendriticcell	CD209
Restingdendriticcell	CD33
Restingdendriticcell	CD68
Restingdendriticcell	CLEC10A
Restingdendriticcell	CLEC4A
Restingdendriticcell	CLEC7A
Restingdendriticcell	CLIC2
Restingdendriticcell	DHRS11
Restingdendriticcell	EGR2
Restingdendriticcell	FAM198B
Restingdendriticcell	FCER1A
Restingdendriticcell	FCER2
Restingdendriticcell	FLVCR2
Restingdendriticcell	FPR3
Restingdendriticcell	FZD2
Restingdendriticcell	HLA-DQA1
Restingdendriticcell	IGSF6
Restingdendriticcell	MMP12
Restingdendriticcell	NCF2
Restingdendriticcell	PLA2G7
Restingdendriticcell	PPFIBP1
Restingdendriticcell	RNASE6
Restingdendriticcell	SCN9A
Restingdendriticcell	SLAMF8
Restingdendriticcell	SLC15A3
Restingdendriticcell	TMEM255A
Restingdendriticcell	TREM2
Activatedendriticcell	ARHGAP22
Activatedendriticcell	BIRC3
Activatedendriticcell	CCL1
Activatedendriticcell	CCL13
Activatedendriticcell	CCL17
Activatedendriticcell	CCL18
Activatedendriticcell	CCL19
Activatedendriticcell	CCL20
Activatedendriticcell	CCL22
Activatedendriticcell	CCL5
Activatedendriticcell	CCL8
Activatedendriticcell	CCR7
Activatedendriticcell	CD1B
Activatedendriticcell	CD1E
Activatedendriticcell	CD80
Activatedendriticcell	CD86
Activatedendriticcell	CHST7
Activatedendriticcell	CLIC2
Activatedendriticcell	CXCL10
Activatedendriticcell	CXCL11
Activatedendriticcell	CYP27A1
Activatedendriticcell	DHX58
Activatedendriticcell	EBI3
Activatedendriticcell	ETV3
Activatedendriticcell	FPR3
Activatedendriticcell	HESX1
Activatedendriticcell	HTR2B
Activatedendriticcell	IDO1
Activatedendriticcell	IFI44L
Activatedendriticcell	IL12B
Activatedendriticcell	IL2RA
Activatedendriticcell	KYNU
Activatedendriticcell	LAMP3
Activatedendriticcell	MAP3K13
Activatedendriticcell	MMP12
Activatedendriticcell	MSC
Activatedendriticcell	NR4A3
Activatedendriticcell	PDCD1LG2
Activatedendriticcell	PLA1A
Activatedendriticcell	PLA2G7
Activatedendriticcell	PTGIR
Activatedendriticcell	RASSF4
Activatedendriticcell	RSAD2
Activatedendriticcell	SIGLEC1
Activatedendriticcell	SLC15A3
Activatedendriticcell	SLC2A6
Activatedendriticcell	SLCO5A1
Activatedendriticcell	ST3GAL6
Activatedendriticcell	TMEM255A
Activatedendriticcell	TNFAIP6
Activatedendriticcell	TNFRSF11A
Activatedendriticcell	TNFRSF4
Activatedendriticcell	TREM2
