CellType	Metagene
NaiveCD4T	MAP4K2
NaiveCD4T	MAP9
NaiveCD4T	RASGRP2
NaiveCD4T	RPL3P7
NaiveCD4T	SERGEF
NaiveCD4T	SH2D1A
NaiveCD4T	SIRPG
NaiveCD4T	TCF7
NaiveCD4T	TRAC
NaiveCD4T	TRAT1
NaiveCD4T	TRAV13-1
NaiveCD4T	TRBC1
NaiveCD4T	UBASH3A
NaiveCD4T	VILL
NaiveCD4T	WNT7A
NaiveCD4T	ZAP70
NaiveCD4T	ZNF204P
NaiveCD4T	ZNF324
RestMemCD4T	BCL11B
RestMemCD4T	CCL5
RestMemCD4T	CCR6
RestMemCD4T	CD2
RestMemCD4T	CD247
RestMemCD4T	CD27
RestMemCD4T	CD28
RestMemCD4T	CD3D
RestMemCD4T	CD3E
RestMemCD4T	CD3G
RestMemCD4T	CD4
RestMemCD4T	CD40LG
RestMemCD4T	CD6
RestMemCD4T	CD69
RestMemCD4T	CD7
RestMemCD4T	CD96
RestMemCD4T	CTLA4
RestMemCD4T	CTSW
RestMemCD4T	DGKA
RestMemCD4T	DPP4
RestMemCD4T	EPB41
RestMemCD4T	ETS1
RestMemCD4T	FAIM3
RestMemCD4T	FBXL8
RestMemCD4T	FLT3LG
RestMemCD4T	GPR171
RestMemCD4T	GPR25
RestMemCD4T	GRAP2
RestMemCD4T	GZMA
RestMemCD4T	GZMK
RestMemCD4T	GZMM
RestMemCD4T	ICOS
RestMemCD4T	IL7R
RestMemCD4T	ITK
RestMemCD4T	KLRB1
RestMemCD4T	LCK
RestMemCD4T	LEF1
RestMemCD4T	LIME1
RestMemCD4T	LTB
RestMemCD4T	LY9
RestMemCD4T	NKG7
RestMemCD4T	PBXIP1
RestMemCD4T	PTGER2
RestMemCD4T	PTPRCAP
RestMemCD4T	RASA3
RestMemCD4T	RASGRP2
RestMemCD4T	RCAN3
RestMemCD4T	RPL10L
RestMemCD4T	RPL3P7
RestMemCD4T	SH2D1A
RestMemCD4T	SIRPG
RestMemCD4T	ST8SIA1
RestMemCD4T	TCF7
RestMemCD4T	TRAC
RestMemCD4T	TRAT1
RestMemCD4T	TRAV13-1
RestMemCD4T	TRAV13-2
RestMemCD4T	TRAV21
RestMemCD4T	TRAV8-6
RestMemCD4T	TRAV9-2
RestMemCD4T	TRBC1
RestMemCD4T	UBASH3A
RestMemCD4T	ZAP70
RestMemCD4T	ZFP36L2
ActivateMemCD4T	CCL20
ActivateMemCD4T	CD2
ActivateMemCD4T	CD247
ActivateMemCD4T	CD28
ActivateMemCD4T	CD3D
ActivateMemCD4T	CD3G
ActivateMemCD4T	CD40LG
ActivateMemCD4T	CD6
ActivateMemCD4T	CD7
ActivateMemCD4T	CDC25A
ActivateMemCD4T	CSF2
ActivateMemCD4T	CTLA4
ActivateMemCD4T	CXCL13
ActivateMemCD4T	DPP4
ActivateMemCD4T	GPR171
ActivateMemCD4T	GPR19
ActivateMemCD4T	GZMB
ActivateMemCD4T	ICOS
ActivateMemCD4T	IFNG
ActivateMemCD4T	IL12RB2
ActivateMemCD4T	IL17A
ActivateMemCD4T	IL26
ActivateMemCD4T	IL2RA
ActivateMemCD4T	IL3
ActivateMemCD4T	IL4
ActivateMemCD4T	IL9
ActivateMemCD4T	LAG3
ActivateMemCD4T	LCK
ActivateMemCD4T	LTA
ActivateMemCD4T	NKG7
ActivateMemCD4T	ORC1
ActivateMemCD4T	PMCH
ActivateMemCD4T	RRP9
ActivateMemCD4T	SH2D1A
ActivateMemCD4T	SKA1
ActivateMemCD4T	TNFRSF4
ActivateMemCD4T	TNIP3
ActivateMemCD4T	TRAC
ActivateMemCD4T	TRAT1
ActivateMemCD4T	UBASH3A
TFollicularHelp	CD2
TFollicularHelp	CD247
TFollicularHelp	CD27
TFollicularHelp	CD3D
TFollicularHelp	CD3G
TFollicularHelp	CD40LG
TFollicularHelp	CD69
TFollicularHelp	CD7
TFollicularHelp	CHI3L2
TFollicularHelp	CTLA4
TFollicularHelp	CXCL13
TFollicularHelp	CXCR5
TFollicularHelp	DGKA
TFollicularHelp	FAIM3
TFollicularHelp	FOSB
TFollicularHelp	FZD3
TFollicularHelp	GPR19
TFollicularHelp	GZMM
TFollicularHelp	ICA1
TFollicularHelp	ICOS
TFollicularHelp	IL21
TFollicularHelp	ITK
TFollicularHelp	KLRB1
TFollicularHelp	LAG3
TFollicularHelp	LAT
TFollicularHelp	LCK
TFollicularHelp	LEF1
TFollicularHelp	LTA
TFollicularHelp	MAP4K1
TFollicularHelp	MAP9
TFollicularHelp	PASK
TFollicularHelp	PDCD1
TFollicularHelp	PTPRCAP
TFollicularHelp	PVRIG
TFollicularHelp	RGS1
TFollicularHelp	RPL3P7
TFollicularHelp	SH2D1A
TFollicularHelp	SIK1
TFollicularHelp	SIRPG
TFollicularHelp	SLC7A10
TFollicularHelp	ST8SIA1
TFollicularHelp	TCF7
TFollicularHelp	TNFRSF4
TFollicularHelp	TRAC
TFollicularHelp	TRAT1
TFollicularHelp	TRAV13-1
TFollicularHelp	TRAV8-6
TFollicularHelp	TRAV9-2
TFollicularHelp	TRBC1
TFollicularHelp	TRIB2
TFollicularHelp	TSHR
TFollicularHelp	UBASH3A
TFollicularHelp	ZAP70
TFollicularHelp	ZBTB10
RegT	BARX2
RegT	BCL11B
RegT	CD2
RegT	CD247
RegT	CD27
RegT	CD28
RegT	CD3D
RegT	CD3E
RegT	CD3G
RegT	CD4
RegT	CD5
RegT	CD6
RegT	CD70
RegT	CD96
RegT	CEMP1
RegT	CLEC2D
RegT	CTLA4
RegT	DGKA
RegT	DPP4
RegT	EFNA5
RegT	FOXP3
RegT	FRMD8
RegT	GPR1
RegT	GPR171
RegT	GPR19
RegT	GZMM
RegT	HIC1
RegT	HMGB3P30
RegT	ICOS
RegT	IL2RA
RegT	IL2RB
RegT	ITK
RegT	KIRREL
RegT	LAIR2
RegT	LCK
RegT	LILRA4
RegT	LOC126987
RegT	LTB
RegT	MAP4K1
RegT	MBL2
RegT	NPAS1
RegT	NTN3
RegT	PCDHA5
RegT	PLCH2
RegT	PMCH
RegT	PTGIR
RegT	PTPRG
RegT	RCAN3
RegT	RYR1
RegT	SEC31B
RegT	SEPT5
RegT	SH2D1A
RegT	SIRPG
RegT	SIT1
RegT	SKAP1
RegT	SPOCK2
RegT	SSX1
RegT	TRAC
RegT	TRAT1
RegT	TRAV9-2
RegT	TRBC1
RegT	TYR
RegT	UBASH3A
RegT	ZAP70
RestNK	BPI
RestNK	CAMP
RestNK	CCL5
RestNK	CD160
RestNK	CD2
RestNK	CD244
RestNK	CD247
RestNK	CD7
RestNK	CD96
RestNK	CDHR1
RestNK	CEACAM8
RestNK	CST7
RestNK	CTSW
RestNK	DEFA4
RestNK	ELANE
RestNK	GFI1
RestNK	GNLY
RestNK	GZMA
RestNK	GZMB
RestNK	GZMH
RestNK	GZMK
RestNK	GZMM
RestNK	IL12RB2
RestNK	IL18R1
RestNK	IL18RAP
RestNK	IL2RB
RestNK	KIR2DL1
RestNK	KIR3DL2
RestNK	KLRB1
RestNK	KLRC3
RestNK	KLRC4
RestNK	KLRD1
RestNK	KLRF1
RestNK	KLRK1
RestNK	LCK
RestNK	MGAM
RestNK	MS4A3
RestNK	NAALADL1
RestNK	NKG7
RestNK	NME8
RestNK	PLEKHF1
RestNK	PRF1
RestNK	PRR5L
RestNK	PTGDR
RestNK	PTPRCAP
RestNK	PVRIG
RestNK	S1PR5
RestNK	SH2D1A
RestNK	TBX21
RestNK	TEP1
RestNK	TRBC1
RestNK	TRDC
RestNK	TTC38
RestNK	TXK
RestNK	ZAP70
RestNK	ZNF135
ActivateNK	APOBEC3G
ActivateNK	APOL6
ActivateNK	CCL4
ActivateNK	CCL5
ActivateNK	CCND2
ActivateNK	CD244
ActivateNK	CD247
ActivateNK	CD69
ActivateNK	CD7
ActivateNK	CD96
ActivateNK	CDK6
ActivateNK	CSF2
ActivateNK	CST7
ActivateNK	CTSW
ActivateNK	DPP4
ActivateNK	FASLG
ActivateNK	GNLY
ActivateNK	GPR171
ActivateNK	GPR18
ActivateNK	GRAP2
ActivateNK	GZMA
ActivateNK	GZMB
ActivateNK	GZMH
ActivateNK	GZMM
ActivateNK	IFNG
ActivateNK	IL12RB2
ActivateNK	IL18R1
ActivateNK	IL18RAP
ActivateNK	IL2RB
ActivateNK	KIR2DL1
ActivateNK	KIR2DL4
ActivateNK	KIR2DS4
ActivateNK	KIR3DL2
ActivateNK	KLRB1
ActivateNK	KLRC3
ActivateNK	KLRD1
ActivateNK	KLRF1
ActivateNK	KLRK1
ActivateNK	LCK
ActivateNK	LTA
ActivateNK	LTB
ActivateNK	NAALADL1
ActivateNK	NCR3
ActivateNK	NKG7
ActivateNK	OSM
ActivateNK	PRF1
ActivateNK	PRR5L
ActivateNK	PTGDR
ActivateNK	PTGER2
ActivateNK	PTPRCAP
ActivateNK	PVRIG
ActivateNK	S1PR5
ActivateNK	SH2D1A
ActivateNK	SOCS1
ActivateNK	TBX21
ActivateNK	TNFSF14
ActivateNK	TRDC
ActivateNK	TXK
ActivateNK	ZAP70
Monocyte	AIF1
Monocyte	APOBEC3A
Monocyte	AQP9
Monocyte	ASGR1
Monocyte	ASGR2
Monocyte	BST1
Monocyte	C5AR1
Monocyte	CCR2
Monocyte	CD1D
Monocyte	CD33
Monocyte	CD68
Monocyte	CDA
Monocyte	CFP
Monocyte	CHST15
Monocyte	CLEC4A
Monocyte	CLEC7A
Monocyte	CREB5
Monocyte	CSF3R
Monocyte	FAM198B
Monocyte	FCN1
Monocyte	FES
Monocyte	FOSB
Monocyte	FPR1
Monocyte	FZD2
Monocyte	HCK
Monocyte	HK3
Monocyte	HNMT
Monocyte	HPSE
Monocyte	IGSF6
Monocyte	LILRA2
Monocyte	LILRA3
Monocyte	LILRB2
Monocyte	LST1
Monocyte	MEFV
Monocyte	MNDA
Monocyte	MS4A6A
Monocyte	NCF2
Monocyte	NFE2
Monocyte	NLRP3
Monocyte	NOD2
Monocyte	P2RY13
Monocyte	PADI4
Monocyte	RNASE2
Monocyte	RNASE6
Monocyte	S100A12
Monocyte	SLC15A3
Monocyte	TLR2
Monocyte	TLR7
Monocyte	TLR8
Monocyte	UPK3A
Monocyte	VNN1
Monocyte	VNN2
MacrophageM0	ACP5
MacrophageM0	ADAMDEC1
MacrophageM0	AQP9
MacrophageM0	BHLHE41
MacrophageM0	C5AR1
MacrophageM0	CCDC102B
MacrophageM0	CCL18
MacrophageM0	CCL22
MacrophageM0	CCL7
MacrophageM0	CD68
MacrophageM0	CHI3L1
MacrophageM0	COL8A2
MacrophageM0	CSF1
MacrophageM0	CXCL3
MacrophageM0	CXCL5
MacrophageM0	CYP27A1
MacrophageM0	DCSTAMP
MacrophageM0	FAM198B
MacrophageM0	GPC4
MacrophageM0	HK3
MacrophageM0	IGSF6
MacrophageM0	MARCO
MacrophageM0	MMP9
MacrophageM0	NCF2
MacrophageM0	PLA2G7
MacrophageM0	PPBP
MacrophageM0	QPCT
MacrophageM0	SLAMF8
MacrophageM0	SLC12A8
MacrophageM0	SLC15A3
MacrophageM0	TNFSF14
MacrophageM0	TREM2
MacrophageM0	VNN1
MacrophageM1	ACHE
MacrophageM1	ADAMDEC1
MacrophageM1	APOBEC3A
MacrophageM1	APOL3
MacrophageM1	APOL6
MacrophageM1	AQP9
MacrophageM1	ARRB1
MacrophageM1	CCL19
MacrophageM1	CCL5
MacrophageM1	CCL8
MacrophageM1	CCR7
MacrophageM1	CD38
MacrophageM1	CD40
MacrophageM1	CHI3L1
MacrophageM1	CLIC2
MacrophageM1	CXCL10
MacrophageM1	CXCL11
MacrophageM1	CXCL13
MacrophageM1	CXCL9
MacrophageM1	CYP27B1
MacrophageM1	DHX58
MacrophageM1	EBI3
MacrophageM1	GGT5
MacrophageM1	HESX1
MacrophageM1	IDO1
MacrophageM1	IFI44L
MacrophageM1	IL2RA
MacrophageM1	KIAA0754
MacrophageM1	KYNU
MacrophageM1	LAG3
MacrophageM1	LAMP3
MacrophageM1	LILRA3
MacrophageM1	LILRB2
MacrophageM1	NOD2
MacrophageM1	PLA1A
MacrophageM1	PTGIR
MacrophageM1	RASSF4
MacrophageM1	RSAD2
MacrophageM1	SIGLEC1
MacrophageM1	SLAMF1
MacrophageM1	SLC15A3
MacrophageM1	SLC2A6
MacrophageM1	SOCS1
MacrophageM1	TLR7
MacrophageM1	TLR8
MacrophageM1	TNFAIP6
MacrophageM1	TNIP3
MacrophageM1	TRPM4
MacrophageM2	ADAMDEC1
MacrophageM2	AIF1
MacrophageM2	ALOX15
MacrophageM2	CCL13
MacrophageM2	CCL14
MacrophageM2	CCL18
MacrophageM2	CCL23
MacrophageM2	CCL8
MacrophageM2	CD209
MacrophageM2	CD4
MacrophageM2	CD68
MacrophageM2	CFP
MacrophageM2	CHI3L1
MacrophageM2	CLEC10A
MacrophageM2	CLEC4A
MacrophageM2	CLIC2
MacrophageM2	CRYBB1
MacrophageM2	EBI3
MacrophageM2	FAM198B
MacrophageM2	FES
MacrophageM2	FRMD4A
MacrophageM2	FZD2
MacrophageM2	GGT5
MacrophageM2	GSTT1
MacrophageM2	HRH1
MacrophageM2	HTR2B
MacrophageM2	MS4A6A
MacrophageM2	NME8
MacrophageM2	NPL
MacrophageM2	P2RY13
MacrophageM2	PDCD1LG2
MacrophageM2	RENBP
MacrophageM2	SIGLEC1
MacrophageM2	SLC15A3
MacrophageM2	TLR8
MacrophageM2	TREM2
MacrophageM2	WNT5B
RestDC	AIF1
RestDC	ALOX15
RestDC	C1orf54
RestDC	CCDC102B
RestDC	CCL13
RestDC	CCL17
RestDC	CCL18
RestDC	CCL22
RestDC	CD1A
RestDC	CD1B
RestDC	CD1C
RestDC	CD1E
RestDC	CD209
RestDC	CD33
RestDC	CD68
RestDC	CLEC10A
RestDC	CLEC4A
RestDC	CLEC7A
RestDC	CLIC2
RestDC	DHRS11
RestDC	EGR2
RestDC	FAM198B
RestDC	FCER1A
RestDC	FCER2
RestDC	FLVCR2
RestDC	FPR3
RestDC	FZD2
RestDC	HLA-DQA1
RestDC	IGSF6
RestDC	MMP12
RestDC	NCF2
RestDC	PLA2G7
RestDC	PPFIBP1
RestDC	RNASE6
RestDC	SCN9A
RestDC	SLAMF8
RestDC	SLC15A3
RestDC	TMEM255A
RestDC	TREM2
ActivateDC	ARHGAP22
ActivateDC	BIRC3
ActivateDC	CCL1
ActivateDC	CCL13
ActivateDC	CCL17
ActivateDC	CCL18
ActivateDC	CCL19
ActivateDC	CCL20
ActivateDC	CCL22
ActivateDC	CCL5
ActivateDC	CCL8
ActivateDC	CCR7
ActivateDC	CD1B
ActivateDC	CD1E
ActivateDC	CD80
ActivateDC	CD86
ActivateDC	CHST7
ActivateDC	CLIC2
ActivateDC	CXCL10
ActivateDC	CXCL11
ActivateDC	CYP27A1
ActivateDC	DHX58
ActivateDC	EBI3
ActivateDC	ETV3
ActivateDC	FPR3
ActivateDC	HESX1
ActivateDC	HTR2B
ActivateDC	IDO1
ActivateDC	IFI44L
ActivateDC	IL12B
ActivateDC	IL2RA
ActivateDC	KYNU
ActivateDC	LAMP3
ActivateDC	MAP3K13
ActivateDC	MMP12
ActivateDC	MSC
ActivateDC	NR4A3
ActivateDC	PDCD1LG2
ActivateDC	PLA1A
ActivateDC	PLA2G7
ActivateDC	PTGIR
ActivateDC	RASSF4
ActivateDC	RSAD2
ActivateDC	SIGLEC1
ActivateDC	SLC15A3
ActivateDC	SLC2A6
ActivateDC	SLCO5A1
ActivateDC	ST3GAL6
ActivateDC	TMEM255A
ActivateDC	TNFAIP6
ActivateDC	TNFRSF11A
ActivateDC	TNFRSF4
ActivateDC	TREM2
RestMast	ATP8B4
RestMast	BMP2K
RestMast	BPI
RestMast	C3AR1
RestMast	CD33
RestMast	CEACAM8
RestMast	CLC
RestMast	CMA1
RestMast	CPA3
RestMast	CRISP3
RestMast	CTSG
RestMast	FAM124B
RestMast	FAM174B
RestMast	FCER1A
RestMast	GFI1
RestMast	HDC
RestMast	HPGDS
RestMast	IL18R1
RestMast	LTC4S
RestMast	MS4A2
RestMast	MS4A3
RestMast	MYB
RestMast	NOX3
RestMast	NTRK1
RestMast	P2RX1
RestMast	P2RY14
RestMast	PAQR5
RestMast	PRG2
RestMast	RAB27B
RestMast	RGS13
RestMast	SEPT8
RestMast	SLC12A8
RestMast	ST8SIA1
RestMast	STAP1
RestMast	STXBP6
RestMast	TPSAB1
ActivateMast	ATP8B4
ActivateMast	BPI
ActivateMast	CCL1
ActivateMast	CCL20
ActivateMast	CCL4
ActivateMast	CD33
ActivateMast	CLC
ActivateMast	CMA1
ActivateMast	CPA3
ActivateMast	CSF2
ActivateMast	CTSG
ActivateMast	CXCL3
ActivateMast	FCER1A
ActivateMast	GZMB
ActivateMast	HDC
ActivateMast	HOXA1
ActivateMast	HPGDS
ActivateMast	IL18R1
ActivateMast	IL1A
ActivateMast	IL1B
ActivateMast	IL1RL1
ActivateMast	IL3
ActivateMast	IL5
ActivateMast	LINC00597
ActivateMast	MARCH3
ActivateMast	MS4A2
ActivateMast	MS4A3
ActivateMast	MYB
ActivateMast	NOX3
ActivateMast	NTRK1
ActivateMast	P2RX1
ActivateMast	PRG2
ActivateMast	RAB27B
ActivateMast	RGS13
ActivateMast	SLC12A8
ActivateMast	STXBP6
ActivateMast	TEC
ActivateMast	TPSAB1
Eosinophil	BANK1
Eosinophil	BCL2A1
Eosinophil	BPI
Eosinophil	C3AR1
Eosinophil	C5AR2
Eosinophil	CD244
Eosinophil	CLC
Eosinophil	DACH1
Eosinophil	DAPK2
Eosinophil	DEPDC5
Eosinophil	DPEP2
Eosinophil	EMR1
Eosinophil	EMR2
Eosinophil	EMR3
Eosinophil	EPN2
Eosinophil	FFAR2
Eosinophil	GIPR
Eosinophil	GPR183
Eosinophil	GPR65
Eosinophil	GPR97
Eosinophil	IL18R1
Eosinophil	IL18RAP
Eosinophil	IL1RL1
Eosinophil	IL5RA
Eosinophil	LRMP
Eosinophil	MAK
Eosinophil	MGAM
Eosinophil	MS4A3
Eosinophil	MXD1
Eosinophil	NCF2
Eosinophil	P2RY10
Eosinophil	P2RY13
Eosinophil	P2RY14
Eosinophil	P2RY2
Eosinophil	PADI4
Eosinophil	PDE6C
Eosinophil	PKD2L2
Eosinophil	PLEKHG3
Eosinophil	REPS2
Eosinophil	RGS1
Eosinophil	RGS13
Eosinophil	RNASE2
Eosinophil	RRP12
Eosinophil	SAMSN1
Eosinophil	SMPD3
Eosinophil	SMPDL3B
Eosinophil	ST3GAL6
Eosinophil	TREML2
Eosinophil	TRPM6
Eosinophil	ZNF222
Neutrophil	AIF1
Neutrophil	APOBEC3A
Neutrophil	AQP9
Neutrophil	BTNL8
Neutrophil	C5AR1
Neutrophil	CAMP
Neutrophil	CASP5
Neutrophil	CCR3
Neutrophil	CDA
Neutrophil	CEACAM3
Neutrophil	CFP
Neutrophil	CHI3L1
Neutrophil	CHST15
Neutrophil	CLC
Neutrophil	CREB5
Neutrophil	CSF3R
Neutrophil	CXCR1
Neutrophil	CXCR2
Neutrophil	DPEP2
Neutrophil	EMR2
Neutrophil	EMR3
Neutrophil	FAM212B
Neutrophil	FCGR3B
Neutrophil	FFAR2
Neutrophil	FPR1
Neutrophil	FPR2
Neutrophil	GPR97
Neutrophil	HAL
Neutrophil	HSPA6
Neutrophil	IGSF6
Neutrophil	IL18RAP
Neutrophil	LILRA2
Neutrophil	LILRB2
Neutrophil	LST1
Neutrophil	MAK
Neutrophil	MEFV
Neutrophil	MGAM
Neutrophil	MMP25
Neutrophil	MNDA
Neutrophil	MXD1
Neutrophil	NCF2
Neutrophil	NFE2
Neutrophil	P2RY13
Neutrophil	P2RY14
Neutrophil	PADI4
Neutrophil	PGLYRP1
Neutrophil	PLEKHG3
Neutrophil	QPCT
Neutrophil	REPS2
Neutrophil	S100A12
Neutrophil	STEAP4
Neutrophil	TLR2
Neutrophil	TLR8
Neutrophil	TNFAIP6
Neutrophil	TNFRSF10C
Neutrophil	TREM1
Neutrophil	TREML2
Neutrophil	VNN1
Neutrophil	VNN2
Neutrophil	VNN3


